Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
09-Sep-25,Tuesday,September,Q3,2025,EQ,3032.1,3060,3030.8,3019,3052,3049.4,3048.62,4549.35,2991.6,2489301,164479
08-Sep-25,Monday,September,Q3,2025,EQ,3050,3064.9,3016,3048.3,3023.2,3019,3028.84,4549.35,2991.6,2626187,112429
05-Sep-25,Friday,September,Q3,2025,EQ,3097.1,3103.4,3028.6,3095.7,3048,3048.3,3052.1,4588,2991.6,2802055,203461
04-Sep-25,Thursday,September,Q3,2025,EQ,3116,3118,3090.8,3097.5,3095.8,3095.7,3101.37,4588,2991.6,1481391,104731
03-Sep-25,Wednesday,September,Q3,2025,EQ,3129.9,3141.9,3088,3111.5,3100,3097.5,3102.69,4588,2991.6,1799774,106698
02-Sep-25,Tuesday,September,Q3,2025,EQ,3121.1,3155,3103.1,3112.6,3112,3111.5,3125.54,4588,2991.6,2185229,154171
01-Sep-25,Monday,September,Q3,2025,EQ,3090,3131.1,3090,3084.7,3111,3112.6,3118.12,4588,2991.6,1246862,85857
29-Aug-25,Friday,August,Q3,2025,EQ,3093,3115,3077.2,3093.7,3083.8,3084.7,3093.86,4592.25,2991.6,2271789,109782
28-Aug-25,Thursday,August,Q3,2025,EQ,3145,3146.5,3086.5,3157.2,3098,3093.7,3110.39,4592.25,2991.6,3116051,204600
26-Aug-25,Tuesday,August,Q3,2025,EQ,3129,3162,3120,3140.6,3157,3157.2,3152.41,4592.25,2991.6,5522097,173962
25-Aug-25,Monday,August,Q3,2025,EQ,3087.3,3152,3077.1,3054,3142.1,3140.6,3133.79,4592.25,2991.6,3448370,200973
22-Aug-25,Friday,August,Q3,2025,EQ,3086,3095.7,3050,3102.6,3054.7,3054,3068.45,4592.25,2991.6,1593791,82740
21-Aug-25,Thursday,August,Q3,2025,EQ,3130,3130,3083.1,3098.6,3100,3102.6,3107.84,4592.25,2991.6,3230726,119697
20-Aug-25,Wednesday,August,Q3,2025,EQ,3010.9,3103.4,3010.9,3016.2,3094.8,3098.6,3078.21,4592.25,2991.6,4952358,190110
19-Aug-25,Tuesday,August,Q3,2025,EQ,3011.2,3025,3011.1,3011.2,3018,3016.2,3016.58,4592.25,2991.6,2650784,119303
18-Aug-25,Monday,August,Q3,2025,EQ,3046.5,3049,3003.4,3022.3,3013,3011.2,3015.34,4592.25,2991.6,2945609,137367
14-Aug-25,Thursday,August,Q3,2025,EQ,3034,3055.9,3019.1,3036.2,3022.5,3022.3,3032.52,4592.25,2991.6,3342174,194661
13-Aug-25,Wednesday,August,Q3,2025,EQ,3036.1,3044.4,3028.6,3035.4,3035,3036.2,3037.72,4592.25,2991.6,2148166,117340
12-Aug-25,Tuesday,August,Q3,2025,EQ,3041,3096.4,3026.9,3040.8,3039.8,3035.4,3057.38,4592.25,2991.6,3358232,165565
11-Aug-25,Monday,August,Q3,2025,EQ,3036.4,3049.9,3021.3,3036.4,3042,3040.8,3040.5,4592.25,2991.6,1884215,132617
08-Aug-25,Friday,August,Q3,2025,EQ,3048.1,3059.8,3025,3047,3031.9,3036.4,3043.58,4592.25,2991.6,2762140,119961
07-Aug-25,Thursday,August,Q3,2025,EQ,3016,3051.6,3010.9,3032.3,3049.1,3047,3032.09,4592.25,2991.6,2543076,138156
06-Aug-25,Wednesday,August,Q3,2025,EQ,3063,3066.8,3026,3063.9,3031.6,3032.3,3037.1,4592.25,2991.6,1487081,109992
05-Aug-25,Tuesday,August,Q3,2025,EQ,3074.4,3077.5,3042,3074.4,3060,3063.9,3057.96,4592.25,2991.6,1927996,118848
04-Aug-25,Monday,August,Q3,2025,EQ,3009.1,3079.4,2991.6,3003,3078.7,3074.4,3046.24,4592.25,2991.6,2519252,154005
01-Aug-25,Friday,August,Q3,2025,EQ,3029.9,3036.8,3000,3036.8,3001.1,3003,3013.79,4592.25,3000,2053847,154119
31-Jul-25,Thursday,July,Q3,2025,EQ,3041.7,3059.8,3015,3053.6,3033.2,3036.8,3034.36,4592.25,3015,2968371,199367
30-Jul-25,Wednesday,July,Q3,2025,EQ,3060,3069,3047.2,3056,3052.1,3053.6,3058.58,4592.25,3041.2,2880121,127490
29-Jul-25,Tuesday,July,Q3,2025,EQ,3060,3074,3041.2,3079.3,3057,3056,3056.04,4592.25,3041.2,4785312,247039
28-Jul-25,Monday,July,Q3,2025,EQ,3110,3118,3069.9,3135.8,3085.8,3079.3,3092.56,4592.25,3056.05,3374473,273133
25-Jul-25,Friday,July,Q3,2025,EQ,3140,3156.9,3125.6,3148,3140,3135.8,3140.77,4592.25,3056.05,2568917,105704
24-Jul-25,Thursday,July,Q3,2025,EQ,3165.1,3173.7,3140,3179.1,3144.9,3148,3155.37,4592.25,3056.05,2934778,102612
23-Jul-25,Wednesday,July,Q3,2025,EQ,3159.6,3182,3157.6,3159.6,3175,3179.1,3169.59,4592.25,3056.05,1922875,96628
22-Jul-25,Tuesday,July,Q3,2025,EQ,3159.6,3180.1,3154.6,3158.2,3164.7,3159.6,3163.54,4592.25,3056.05,3198036,138279
21-Jul-25,Monday,July,Q3,2025,EQ,3190,3197.6,3152,3189.9,3158.9,3158.2,3162.44,4592.25,3056.05,3844346,195683
18-Jul-25,Friday,July,Q3,2025,EQ,3225,3228.8,3187,3209.2,3189.6,3189.9,3201.13,4592.25,3056.05,3432645,195464
17-Jul-25,Thursday,July,Q3,2025,EQ,3224.1,3242,3204.1,3233.1,3207.7,3209.2,3220.48,4592.25,3056.05,2947640,157207
16-Jul-25,Wednesday,July,Q3,2025,EQ,3227,3244.9,3220.6,3252.3,3230.9,3233.1,3235.91,4592.25,3056.05,2540733,172998
15-Jul-25,Tuesday,July,Q3,2025,EQ,3206,3259.4,3206,3222.7,3252,3252.3,3243.32,4592.25,3056.05,2590889,171257
14-Jul-25,Monday,July,Q3,2025,EQ,3266,3272,3200,3266,3227.5,3222.7,3224.72,4592.25,3056.05,3924009,396894
11-Jul-25,Friday,July,Q3,2025,EQ,3299.9,3335,3261.1,3382,3264.5,3266,3295.45,4592.25,3056.05,7635550,552284
10-Jul-25,Thursday,July,Q3,2025,EQ,3380,3399,3356,3383.8,3395,3382,3379.02,4592.25,3056.05,3035012,176792
09-Jul-25,Wednesday,July,Q3,2025,EQ,3410,3414,3367,3406.2,3386,3383.8,3387.16,4592.25,3056.05,2034938,191376
