Date ,Day,Month,Year,Quarter,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Mar-25,Wednesday,March,2025,Q1,EQ,330.70,336.00,321.20,337.50,324.45,323.85,329.01,617.30,317.00,7488889.00,2463925257.80,90650.00
25-Mar-25,Tuesday,March,2025,Q1,EQ,354.50,356.40,331.75,351.45,334.95,337.50,342.81,617.30,317.00,5518715.00,1891855951.55,72294.00
24-Mar-25,Monday,March,2025,Q1,EQ,353.10,357.25,350.60,350.65,352.95,351.45,353.93,617.30,317.00,3218583.00,1139168853.60,40824.00
21-Mar-25,Friday,March,2025,Q1,EQ,354.40,358.40,348.20,354.35,350.20,350.65,351.86,617.30,317.00,4553941.00,1602358544.65,47045.00
20-Mar-25,Thursday,March,2025,Q1,EQ,364.00,366.00,348.15,360.60,354.75,354.35,353.63,617.30,317.00,6777598.00,2396779835.25,76974.00
19-Mar-25,Wednesday,March,2025,Q1,EQ,357.85,369.70,352.10,356.05,360.95,360.60,362.65,617.30,317.00,7872167.00,2854863610.30,93756.00
18-Mar-25,Tuesday,March,2025,Q1,EQ,356.50,359.30,353.05,354.70,355.00,356.05,355.65,617.30,317.00,4119129.00,1464987210.95,63346.00
17-Mar-25,Monday,March,2025,Q1,EQ,356.00,359.30,349.20,353.20,355.05,354.70,354.83,617.30,317.00,6949570.00,2465913505.55,72038.00
13-Mar-25,Thursday,March,2025,Q1,EQ,353.00,357.85,343.70,348.80,354.00,353.20,352.42,617.30,317.00,4894809.00,1725027275.15,74118.00
12-Mar-25,Wednesday,March,2025,Q1,EQ,355.95,360.60,346.45,352.85,348.45,348.80,350.31,617.30,317.00,7809856.00,2735837578.35,84057.00
11-Mar-25,Tuesday,March,2025,Q1,EQ,354.00,354.75,347.30,359.65,353.00,352.85,351.97,617.30,317.00,3699313.00,1302057591.40,60828.00
10-Mar-25,Monday,March,2025,Q1,EQ,368.80,368.80,354.25,360.95,360.00,359.65,359.68,617.30,317.00,6193973.00,2227831836.05,84528.00
07-Mar-25,Friday,March,2025,Q1,EQ,360.00,368.75,353.55,362.55,360.10,360.95,361.14,617.30,317.00,9381165.00,3387875655.30,123829.00
06-Mar-25,Thursday,March,2025,Q1,EQ,360.00,377.30,359.05,358.50,361.15,362.55,366.38,617.30,317.00,12135517.00,4446153265.95,141145.00
05-Mar-25,Wednesday,March,2025,Q1,EQ,346.35,360.00,343.50,350.05,358.60,358.50,352.62,617.30,317.00,10126052.00,3570667965.85,143508.00
04-Mar-25,Tuesday,March,2025,Q1,EQ,324.00,352.00,322.15,326.30,350.05,350.05,344.31,617.30,317.00,18340203.00,6314796344.65,175689.00
03-Mar-25,Monday,March,2025,Q1,EQ,342.25,342.25,317.00,334.65,326.00,326.30,325.78,617.30,317.00,13176398.00,4292597087.15,122323.00
28-Feb-25,Friday,February,2025,Q1,EQ,340.00,354.50,331.05,344.45,334.80,334.65,341.53,617.30,325.30,11985216.00,4093310685.05,140068.00
27-Feb-25,Thursday,February,2025,Q1,EQ,360.00,360.00,341.00,355.10,342.90,344.45,348.69,617.30,325.30,6110777.00,2130794607.15,86592.00
25-Feb-25,Tuesday,February,2025,Q1,EQ,363.05,364.65,350.40,364.65,355.20,355.10,356.54,617.30,325.30,9161306.00,3266348453.25,87452.00
24-Feb-25,Monday,February,2025,Q1,EQ,354.00,368.00,348.35,360.55,363.05,364.65,359.89,617.30,325.30,12371636.00,4452382559.95,130548.00
21-Feb-25,Friday,February,2025,Q1,EQ,371.70,374.80,354.00,373.60,360.00,360.55,364.80,617.30,325.30,16859588.00,6150344422.95,170627.00
20-Feb-25,Thursday,February,2025,Q1,EQ,370.50,386.75,367.75,377.40,370.80,373.60,377.36,617.30,325.30,15403371.00,5812590714.80,154625.00
19-Feb-25,Wednesday,February,2025,Q1,EQ,340.00,383.50,339.55,347.90,375.65,377.40,369.99,617.30,325.30,27576813.00,10203014963.70,246832.00
18-Feb-25,Tuesday,February,2025,Q1,EQ,338.25,349.85,328.40,338.25,347.40,347.90,340.20,617.30,325.30,13628374.00,4636339146.95,136671.00
17-Feb-25,Monday,February,2025,Q1,EQ,337.50,354.80,333.50,340.75,337.80,338.25,342.77,617.30,325.30,16573200.00,5680776635.75,188647.00
14-Feb-25,Friday,February,2025,Q1,EQ,364.00,364.00,325.30,365.50,341.60,340.75,338.01,617.30,325.30,27954447.00,9448865375.75,273335.00
13-Feb-25,Thursday,February,2025,Q1,EQ,348.00,369.00,343.05,341.40,360.40,365.50,359.09,617.30,326.20,22899285.00,8222967075.20,197420.00
12-Feb-25,Wednesday,February,2025,Q1,EQ,336.40,352.95,326.20,333.35,341.80,341.40,338.76,617.30,326.20,36471242.00,12355047397.50,344111.00
11-Feb-25,Tuesday,February,2025,Q1,EQ,370.00,370.20,330.00,362.10,335.05,333.35,344.80,617.30,330.00,28185478.00,9718327355.50,284452.00
10-Feb-25,Monday,February,2025,Q1,EQ,378.00,378.25,359.00,380.65,361.90,362.10,363.95,617.30,359.00,31887879.00,11605662660.25,461489.00
07-Feb-25,Friday,February,2025,Q1,EQ,395.00,397.25,375.00,388.70,381.20,380.65,382.06,617.30,375.00,23290096.00,8898299188.50,220898.00
06-Feb-25,Thursday,February,2025,Q1,EQ,391.00,410.90,385.25,418.05,391.75,388.70,399.07,617.30,385.25,41230291.00,16453928552.55,405189.00
05-Feb-25,Wednesday,February,2025,Q1,EQ,426.00,430.50,414.30,434.05,418.60,418.05,421.70,617.30,389.05,15784590.00,6656314549.90,176122.00
04-Feb-25,Tuesday,February,2025,Q1,EQ,458.00,458.00,428.45,458.40,432.50,434.05,437.18,617.30,389.05,10441964.00,4564992193.15,147365.00
03-Feb-25,Monday,February,2025,Q1,EQ,431.00,463.00,421.00,435.45,456.20,458.40,448.14,617.30,389.05,17169683.00,7694484001.45,285450.00
01-Feb-25,Saturday,February,2025,Q1,EQ,418.50,458.20,407.50,416.10,434.55,435.45,438.09,617.30,389.05,15070283.00,6602209500.25,196336.00
31-Jan-25,Friday,January,2025,Q1,EQ,410.90,420.45,408.40,404.75,417.40,416.10,414.48,617.30,389.05,5141139.00,2130918740.50,83887.00
30-Jan-25,Thursday,January,2025,Q1,EQ,428.00,428.50,402.50,428.20,405.80,404.75,413.06,617.30,389.05,10278807.00,4245805793.35,165919.00
29-Jan-25,Wednesday,January,2025,Q1,EQ,412.00,429.95,406.75,410.95,428.00,428.20,420.51,617.30,389.05,11860436.00,4987429900.85,153968.00
28-Jan-25,Tuesday,January,2025,Q1,EQ,414.25,418.55,389.05,410.05,411.00,410.95,404.26,617.30,389.05,17253887.00,6975089467.45,258526.00
27-Jan-25,Monday,January,2025,Q1,EQ,442.00,443.45,405.35,449.05,408.40,410.05,416.08,617.30,391.00,12806362.00,5328482920.40,220698.00
24-Jan-25,Friday,January,2025,Q1,EQ,463.20,463.90,441.00,460.90,446.40,449.05,450.92,617.30,391.00,12225785.00,5512812693.45,164337.00
23-Jan-25,Thursday,January,2025,Q1,EQ,434.50,465.00,433.90,433.70,463.50,460.90,453.68,617.30,391.00,13375717.00,6068295374.60,157275.00
22-Jan-25,Wednesday,January,2025,Q1,EQ,441.00,445.45,413.60,440.45,434.50,433.70,426.82,617.30,391.00,17727617.00,7566469938.25,235377.00
21-Jan-25,Tuesday,January,2025,Q1,EQ,470.00,471.30,427.05,479.20,440.80,440.45,442.18,617.30,391.00,19799027.00,8754674817.30,272246.00
20-Jan-25,Monday,January,2025,Q1,EQ,475.70,483.75,464.45,473.10,475.00,479.20,476.76,617.30,391.00,6636117.00,3163811398.25,126080.00
17-Jan-25,Friday,January,2025,Q1,EQ,483.50,489.50,467.20,483.00,473.90,473.10,476.44,617.30,391.00,6245233.00,2975488315.30,108764.00
16-Jan-25,Thursday,January,2025,Q1,EQ,505.00,514.80,479.00,487.30,485.00,483.00,492.05,617.30,391.00,10078943.00,4959322425.50,136737.00
15-Jan-25,Wednesday,January,2025,Q1,EQ,474.00,494.40,470.05,464.55,488.10,487.30,484.50,617.30,391.00,11912348.00,5771582220.85,156217.00
14-Jan-25,Tuesday,January,2025,Q1,EQ,465.20,481.45,460.10,463.10,464.90,464.55,472.65,617.30,391.00,8019502.00,3790436866.85,105481.00
13-Jan-25,Monday,January,2025,Q1,EQ,481.15,487.90,458.30,492.30,465.00,463.10,470.18,617.30,391.00,8311612.00,3907967719.45,151569.00
10-Jan-25,Friday,January,2025,Q1,EQ,504.00,505.90,488.55,507.50,492.00,492.30,494.99,617.30,391.00,5638811.00,2791152776.10,102316.00
09-Jan-25,Thursday,January,2025,Q1,EQ,505.15,521.40,497.05,490.60,506.70,507.50,507.66,617.30,391.00,14972600.00,7600928038.10,182048.00
08-Jan-25,Wednesday,January,2025,Q1,EQ,514.90,515.20,486.20,509.25,491.75,490.60,493.46,617.30,391.00,9326257.00,4602091373.85,147056.00
07-Jan-25,Tuesday,January,2025,Q1,EQ,538.00,538.00,505.15,532.10,509.85,509.25,515.92,617.30,391.00,12034803.00,6208952421.65,150886.00
06-Jan-25,Monday,January,2025,Q1,EQ,544.40,546.55,520.20,541.45,540.05,532.10,532.04,617.30,391.00,7196227.00,3828659483.15,144147.00
03-Jan-25,Friday,January,2025,Q1,EQ,557.00,558.85,540.00,556.45,541.00,541.45,545.73,617.30,391.00,6023536.00,3287232033.20,77400.00
02-Jan-25,Thursday,January,2025,Q1,EQ,545.10,558.00,539.35,542.35,555.90,556.45,549.99,617.30,391.00,6483910.00,3566082565.95,92129.00
01-Jan-25,Wednesday,January,2025,Q1,EQ,544.25,554.40,538.20,540.90,543.00,542.35,545.80,617.30,391.00,4500187.00,2456214268.75,69069.00
31-Dec-24,Tuesday,December,2024,Q4,EQ,552.00,561.00,535.20,550.65,542.00,540.90,543.48,617.30,391.00,5400223.00,2934921074.85,86157.00
30-Dec-24,Monday,December,2024,Q4,EQ,548.00,568.00,542.00,545.95,550.00,550.65,555.96,617.30,391.00,7669754.00,4264078073.05,108749.00
27-Dec-24,Friday,December,2024,Q4,EQ,563.00,564.00,541.25,559.05,546.60,545.95,549.06,617.30,391.00,5812587.00,3191455699.60,79567.00
26-Dec-24,Thursday,December,2024,Q4,EQ,571.90,575.80,555.20,568.10,556.80,559.05,567.11,617.30,391.00,7705705.00,4369968305.10,119855.00
24-Dec-24,Tuesday,December,2024,Q4,EQ,589.00,594.00,561.10,583.65,564.00,568.10,572.05,617.30,391.00,11010976.00,6298818248.85,154859.00
23-Dec-24,Monday,December,2024,Q4,EQ,605.30,617.30,578.25,597.45,584.55,583.65,595.25,617.30,391.00,21999304.00,13094984430.70,315186.00
